exercise_id,exercise_name,body_part,equipment,difficulty
101,Barbell Bench Press,Chest,Barbell,Intermediate
102,Barbell Squat,Legs,Barbell,Intermediate
103,Deadlift,Back,Barbell,Advanced
104,Overhead Press,Shoulders,Barbell,Intermediate
105,Pull Up,Back,Bodyweight,Intermediate
106,Dumbbell Bench Press,Chest,Dumbbell,Beginner
107,Goblet Squat,Legs,Dumbbell,Beginner
108,Dumbbell Row,Back,Dumbbell,Beginner
109,Push Up,Chest,Bodyweight,Beginner
110,Plank,Core,Bodyweight,Beginner
111,Lunges,Legs,Dumbbell,Beginner
112,Pistol Squat,Legs,Bodyweight,Advanced
113,Bicep Curl,Arms,Dumbbell,Beginner
114,Tricep Extension,Arms,Dumbbell,Beginner
115,Lateral Raise,Shoulders,Dumbbell,Beginner
116,Leg Press,Legs,Machine,Beginner
117,Lat Pulldown,Back,Machine,Beginner
118,Leg Curl,Legs,Machine,Beginner
119,Leg Extension,Legs,Machine,Beginner
120,Cable Fly,Chest,Cable,Intermediate
121,Face Pull,Shoulders,Cable,Beginner
122,Dips,Chest,Bodyweight,Intermediate
123,Hanging Leg Raise,Core,Bodyweight,Intermediate
124,Kettlebell Swing,Legs,Kettlebell,Intermediate
125,Chin Up,Back,Bodyweight,Intermediate
126,Incline Dumbbell Press,Chest,Dumbbell,Intermediate
127,Bulgarian Split Squat,Legs,Dumbbell,Advanced
128,Romanian Deadlift,Legs,Barbell,Intermediate
129,Seated Cable Row,Back,Cable,Beginner
130,Skullcrushers,Arms,Barbell,Intermediate
131,Hammer Curl,Arms,Dumbbell,Beginner
132,Calf Raise,Legs,Machine,Beginner
133,Ab Wheel Rollout,Core,Other,Intermediate
134,Air Squat,Legs,Bodyweight,Beginner
135,Glute Bridge,Legs,Bodyweight,Beginner
136,Bird Dog,Core,Bodyweight,Beginner
137,Inverted Row,Back,Barbell,Beginner
138,Wall Sit,Legs,Bodyweight,Beginner
139,Mountain Climbers,Core,Bodyweight,Beginner
140,Burpee,Full Body,Bodyweight,Intermediate
141,Good Morning,Back,Barbell,Advanced
142,Front Squat,Legs,Barbell,Advanced
143,Hip Thrust,Legs,Barbell,Intermediate
144,Arnold Press,Shoulders,Dumbbell,Intermediate
145,Concentration Curl,Arms,Dumbbell,Beginner
146,Diamond Push Up,Arms,Bodyweight,Intermediate
147,Box Jump,Legs,Other,Intermediate
148,T-Bar Row,Back,Machine,Intermediate
149,Pec Deck,Chest,Machine,Beginner
150,Rope Tricep Pushdown,Arms,Cable,Beginner
151,Cable Bicep Curl,Arms,Cable,Beginner
152,Russian Twist,Core,Bodyweight,Beginner
153,Side Plank,Core,Bodyweight,Beginner
154,Decline Bench Press,Chest,Barbell,Intermediate
155,Sumo Deadlift,Legs,Barbell,Advanced
156,Farmer's Walk,Full Body,Dumbbell,Beginner
157,Reverse Fly,Shoulders,Dumbbell,Beginner
158,Preacher Curl,Arms,Machine,Beginner
159,Cable Crossover,Chest,Cable,Intermediate
160,Box Squat,Legs,Barbell,Intermediate
161,Z-Press,Shoulders,Barbell,Advanced
