meal_id,meal_name,meal_type,calories,protein_g,carbs_g,fat_g,dietary_tags
501,Scrambled Eggs with Spinach & Toast,Breakfast,450,30,35,20,vegetarian
502,Greek Yogurt with Berries & Nuts,Breakfast,400,25,30,20,vegetarian;gluten_free
503,Chicken Breast with Quinoa & Broccoli,Lunch,550,50,45,18,high_protein;gluten_free
504,Lentil Soup with Whole Wheat Bread,Lunch,480,22,70,10,vegan
505,Salmon with Sweet Potato & Asparagus,Dinner,600,45,50,22,
506,Tofu Stir-fry with Brown Rice,Dinner,520,25,65,16,vegan
507,Protein Shake (Whey),Snack,250,30,8,7,high_protein;vegetarian
508,Apple with Peanut Butter,Snack,300,8,35,16,vegan;gluten_free
509,Oatmeal with Protein Powder,Breakfast,500,35,70,9,vegetarian;high_protein
510,Tuna Salad Sandwich,Lunch,420,30,40,15,
511,Steak with Roasted Potatoes,Dinner,700,55,40,35,high_protein
512,Cottage Cheese with Peaches,Snack,220,25,18,5,vegetarian;gluten_free
513,Vegan Protein Shake (Pea),Snack,280,30,12,10,vegan;high_protein
514,Chickpea Curry with Rice,Dinner,580,20,80,18,vegan
515,Ground Turkey Bowl with Black Beans,Lunch,530,45,55,12,high_protein;gluten_free
516,Egg White Omelette with Veggies,Breakfast,350,30,20,15,vegetarian
517,Hard Boiled Eggs (3),Snack,210,18,2,15,vegetarian;gluten_free
518,Beef Jerky,Snack,150,25,5,3,high_protein
519,Cod with Lemon and Dill,Dinner,400,40,5,22,
520,Seitan "Steak" with Mashed Cauliflower,Dinner,480,40,30,20,vegan;high_protein
521,Rice Cakes with Avocado,Snack,250,5,30,12,vegan
522,Chicken Thighs with White Rice,Dinner,650,40,60,28,
523,Edamame,Snack,180,17,15,8,vegan;gluten_free
524,Black Bean Burgers on Bun,Lunch,500,25,60,18,vegan
525,Sardines in Olive Oil,Lunch,250,22,0,18,
526,Bagel with Cream Cheese,Breakfast,400,12,60,12,vegetarian
527,Protein Pancakes,Breakfast,480,40,50,14,vegetarian;high_protein
528,Shrimp Scampi with Zucchini Noodles,Dinner,450,35,15,25,
529,Caesar Salad with Grilled Chicken,Lunch,550,45,10,38,
530,Tempeh Bacon BLT,Lunch,480,28,45,20,vegan
531,Chocolate Milk (Post-Workout),Snack,350,15,50,9,vegetarian
532,Turkey Breast Sandwich,Lunch,450,40,45,12,
533,Mahi-Mahi with Mango Salsa,Dinner,520,45,40,18,
534,Almonds (Handful),Snack,200,7,7,16,vegan;gluten_free
535,Tofu Scramble,Breakfast,400,28,15,25,vegan
536,Kodiak Cakes,Breakfast,500,40,60,10,vegetarian;high_protein
537,Shepherd's Pie (Beef),Dinner,650,40,50,30,
538,Vegan Shepherd's Pie (Lentil),Dinner,600,25,70,22,vegan
539,Leftover Chicken Breast,Snack,200,40,0,4,high_protein;gluten_free
540,Beef and Broccoli Stir-fry,Dinner,580,45,40,25,
541,Chicken Noodle Soup,Lunch,350,25,40,10,
542,Clif Bar,Snack,250,10,45,5,vegetarian
543,RXBAR,Snack,210,12,24,9,gluten_free
544,Avocado Toast with Egg,Breakfast,380,20,25,20,vegetarian
545,Chicken Alfredo,Dinner,800,50,70,35,
546,Spaghetti with Meatballs,Dinner,750,40,80,30,
547,Veggie Omelette,Breakfast,400,25,10,28,vegetarian
548,Chicken Shawarma Bowl,Lunch,600,45,50,25,
549,Falafel Wrap,Lunch,550,20,70,20,vegan
550,Sushi (Salmon Roll),Dinner,450,20,60,10,
551,Miso Soup,Snack,80,6,5,2,vegan
552,Chicken Pot Pie,Dinner,700,30,60,40,
553,Protein Oats with Banana,Breakfast,550,35,80,10,vegetarian;high_protein
554,Tuna Steak with Asparagus,Dinner,450,50,5,25,
